name,label,value,missing
ST37Q01,Maths Self-Efficacy - Using a <Train Timetable>,"{1, Very confident}...","9, 8, 7"
ST37Q02,Maths Self-Efficacy - Calculating TV Discount,"{1, Very confident}...","9, 8, 7"
ST37Q03,Maths Self-Efficacy - Calculating Square Metres of Tiles,"{1, Very confident}...","9, 8, 7"
ST37Q04,Maths Self-Efficacy - Understanding Graphs in Newspapers,"{1, Very confident}...","9, 8, 7"
ST37Q05,Maths Self-Efficacy - Solving Equation 1,"{1, Very confident}...","9, 8, 7"
ST37Q06,Maths Self-Efficacy - Distance to Scale,"{1, Very confident}...","9, 8, 7"
ST37Q07,Maths Self-Efficacy - Solving Equation 2,"{1, Very confident}...","9, 8, 7"
ST37Q08,Maths Self-Efficacy - Calculate Petrol Consumption Rate,"{1, Very confident}...","9, 8, 7"
ST42Q01,Maths Anxiety - Worry That It Will Be Difficult,"{1, Strongly agree}...","9, 8, 7"
ST42Q02,Maths Self-Concept - Not Good at Maths,"{1, Strongly agree}...","9, 8, 7"
ST42Q03,Maths Anxiety - Get Very Tense,"{1, Strongly agree}...","9, 8, 7"
ST42Q04,Maths Self-Concept - Get Good <Grades>,"{1, Strongly agree}...","9, 8, 7"
ST42Q05,Maths Anxiety - Get Very Nervous,"{1, Strongly agree}...","9, 8, 7"
ST42Q06,Maths Self-Concept - Learn Quickly,"{1, Strongly agree}...","9, 8, 7"
ST42Q07,Maths Self-Concept - One of Best Subjects,"{1, Strongly agree}...","9, 8, 7"
ST42Q08,Maths Anxiety - Feel Helpless,"{1, Strongly agree}...","9, 8, 7"
ST42Q09,Maths Self-Concept - Understand Difficult Work,"{1, Strongly agree}...","9, 8, 7"
ST42Q10,Maths Anxiety - Worry About Getting Poor <Grades>,"{1, Strongly agree}...","9, 8, 7"
ST29Q01,Maths Interest - Enjoy Reading,"{1, Strongly agree}...","9, 8, 7"
ST29Q03,Maths Interest - Look Forward to Lessons,"{1, Strongly agree}...","9, 8, 7"
ST29Q04,Maths Interest - Enjoy Maths,"{1, Strongly agree}...","9, 8, 7"
ST29Q06,Maths Interest - Interested,"{1, Strongly agree}...","9, 8, 7"
ST49Q01,Maths Behaviour - Talk about Maths with Friends,"{1, Always or almost always}...","9, 8, 7"
ST49Q02,Maths Behaviour - Help Friends with Maths,"{1, Always or almost always}...","9, 8, 7"
ST49Q03,Maths Behaviour - <Extracurricular> Activity,"{1, Always or almost always}...","9, 8, 7"
ST49Q04,Maths Behaviour - Participate in Competitions,"{1, Always or almost always}...","9, 8, 7"
ST49Q05,Maths Behaviour - Study More Than 2 Extra Hours a Day,"{1, Always or almost always}...","9, 8, 7"
ST49Q06,Maths Behaviour - Play Chess,"{1, Always or almost always}...","9, 8, 7"
ST49Q07,Maths Behaviour - Computer programming,"{1, Always or almost always}...","9, 8, 7"
ST49Q09,Maths Behaviour - Participate in Maths Club,"{1, Always or almost always}...","9, 8, 7"
PV1MATH,Plausible value 1 in mathematics,"{9997.0000, N/A}...","9999.0000, 9998.0000, 9997.0000"
PV2MATH,Plausible value 2 in mathematics,"{9997.0000, N/A}...","9999.0000, 9998.0000, 9997.0000"
PV3MATH,Plausible value 3 in mathematics,"{9997.0000, N/A}...","9999.0000, 9998.0000, 9997.0000"
PV4MATH,Plausible value 4 in mathematics,"{9997.0000, N/A}...","9999.0000, 9998.0000, 9997.0000"
PV5MATH,Plausible value 5 in mathematics,"{9997.0000, N/A}...","9999.0000, 9998.0000, 9997.0000"
