"Model","Classes","AIC","BIC","Entropy","prob_min","prob_max","n_min","n_max","BLRT_p"
"1","2","8384.58","8438.17","0.72","0.90","0.93","0.44","0.56","0.00"
"1","3","8101.71","8176.75","0.70","0.82","0.88","0.23","0.52","0.00"
"1","4","7943.34","8039.81","0.79","0.84","0.93","0.01","0.53","0.00"
"1","5","7772.17","7890.08","0.83","0.84","0.93","0.01","0.36","0.00"
"2","2","8378.11","8447.78","0.71","0.90","0.93","0.48","0.52","0.00"
"2","3","8024.54","8131.73","0.70","0.84","0.88","0.24","0.47","0.00"
"2","4","7654.75","7799.45","0.84","0.89","0.99","0.06","0.50","0.00"
"2","5","7522.59","7704.81","0.80","0.51","0.98","0.04","0.42","0.00"
"3","2","7899.10","7968.77","0.99","0.90","1.00","0.01","0.99","0.00"
"3","3","7852.20","7943.31","0.79","0.65","0.96","0.01","0.84","0.00"
"3","4","7831.90","7944.45","0.78","0.51","0.96","0.01","0.83","0.00"
"3","5","7562.39","7696.38","0.91","0.90","0.97","0.01","0.43","0.00"
"4","2","7873.46","7959.22","0.33","0.50","0.94","0.21","0.79","0.00"
"4","3","7803.86","7927.13","0.61","0.62","0.91","0.10","0.70","0.00"
"4","4","7714.60","7875.38","0.61","0.64","0.89","0.11","0.33","0.00"
"4","5","7638.96","7837.26","0.72","0.55","0.94","0.08","0.34","0.00"
"5","2","7842.11","7927.86","0.43","0.45","0.96","0.14","0.86","0.00"
"5","3","7770.95","7894.21","0.72","0.43","0.94","0.03","0.85","0.00"
"5","4","7748.46","7909.24","0.68","0.56","0.86","0.00","0.73","0.00"
"5","5","7695.47","7893.77","0.67","0.49","0.90","0.01","0.61","0.00"
